Species,parent,child,variant
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
